sseqid	gene_name
pid|0000000000100201006|tx|10020|	crb:17874643
pid|0000000000100201006|tx|10020|	csat:104725706
pid|0000000000100201006|tx|10020|	ath:AT5G51970
pid|0000000000100201006|tx|10020|	csat:104726916
pid|0000000000100201006|tx|10020|	aly:9300220
pid|0000000001002010990|tx|10020|	csat:104722970
pid|0000000001002010990|tx|10020|	ath:AT4G20930
pid|0000000001002010990|tx|10020|	aly:9305992
pid|0000000001002010990|tx|10020|	crb:17879685
pid|0000000001002010990|tx|10020|	csat:104718244
pid|0000000000100209562|tx|10020|	ath:AT5G56720
pid|0000000000100209562|tx|10020|	crb:111832567
pid|0000000000100209562|tx|10020|	crb:17874770
pid|0000000000100209562|tx|10020|	aly:9328278
pid|0000000000100209562|tx|10020|	csat:104725128
pid|0000000000100209562|tx|10020|	csat:104726217
pid|0000000000100209562|tx|10020|	crb:17875863
pid|0000000000100209562|tx|10020|	aly:9299740
pid|0000000000100209562|tx|10020|	ath:AT1G04410
pid|0000000000100209562|tx|10020|	aly:9302237
pid|0000000000100209562|tx|10020|	ath:AT5G43330
pid|0000000001002016523|tx|10020|	crb:17900607
pid|0000000001002016523|tx|10020|	crb:17888810
pid|0000000001002016523|tx|10020|	ath:AT4G01850
pid|0000000001002016523|tx|10020|	csat:104713423
pid|0000000001002016523|tx|10020|	crb:17887834
pid|0000000001002016523|tx|10020|	aly:9328174
pid|0000000001002016523|tx|10020|	csat:104707924
pid|0000000001002016523|tx|10020|	aly:9308942
pid|0000000001002016523|tx|10020|	ath:AT1G02500
pid|0000000001002016523|tx|10020|	ath:AT2G36880
pid|0000000001002016523|tx|10020|	crb:17893672
pid|0000000001002016523|tx|10020|	aly:9319125
pid|0000000001002016523|tx|10020|	crb:17882663
pid|0000000001002016523|tx|10020|	ath:AT3G17390
pid|0000000001002016523|tx|10020|	aly:9317542
pid|0000000000100206338|tx|10020|	csat:104703889
pid|0000000000100206338|tx|10020|	csat:104714621
pid|0000000000100206338|tx|10020|	ath:AT4G31990
pid|0000000000100206338|tx|10020|	aly:9305371
pid|0000000000100206338|tx|10020|	crb:17896323
pid|0000000000100206338|tx|10020|	csat:104706286
pid|0000000000100206338|tx|10020|	csat:104721635
pid|0000000000100206338|tx|10020|	ath:AT2G30970
pid|0000000000100206338|tx|10020|	aly:9322519
pid|0000000000100206338|tx|10020|	csat:104716988
pid|0000000000100206338|tx|10020|	ath:AT1G62800
pid|0000000000100206338|tx|10020|	csat:104730077
pid|0000000000100206338|tx|10020|	aly:9307549
pid|0000000000100206338|tx|10020|	csat:104705418
pid|0000000000100206338|tx|10020|	ath:AT5G19550
pid|0000000000100206338|tx|10020|	crb:17882445
pid|0000000000100206338|tx|10020|	crb:17881156
pid|0000000000100206338|tx|10020|	aly:9317213
pid|0000000000100206338|tx|10020|	ath:AT5G11520
pid|0000000000100206338|tx|10020|	crb:17888564
pid|0000000000100206338|tx|10020|	csat:104700375
pid|0000000000100206338|tx|10020|	crb:17878587
pid|0000000000100206338|tx|10020|	aly:9307962
pid|0000000001002010891|tx|10020|	csat:104703889
pid|0000000001002010891|tx|10020|	csat:104714621
pid|0000000001002010891|tx|10020|	ath:AT4G31990
pid|0000000001002010891|tx|10020|	aly:9305371
pid|0000000001002010891|tx|10020|	crb:17896323
pid|0000000001002010891|tx|10020|	csat:104706286
pid|0000000001002010891|tx|10020|	csat:104721635
